INSTANCE_ID; NODE_ID; INITIALIZATION
Item50; ItemProcess; value := 789.0
Item50; ItemProcess; weight := 674.0
Item51; ItemProcess; value := 479.0
Item51; ItemProcess; weight := 540.0
Item52; ItemProcess; value := 142.0
Item52; ItemProcess; weight := 554.0
Item53; ItemProcess; value := 339.0
Item53; ItemProcess; weight := 467.0
Item54; ItemProcess; value := 641.0
Item54; ItemProcess; weight := 46.0
Item55; ItemProcess; value := 196.0
Item55; ItemProcess; weight := 710.0
Item56; ItemProcess; value := 494.0
Item56; ItemProcess; weight := 553.0
Item57; ItemProcess; value := 66.0
Item57; ItemProcess; weight := 191.0
Item58; ItemProcess; value := 824.0
Item58; ItemProcess; weight := 724.0
Item59; ItemProcess; value := 208.0
Item59; ItemProcess; weight := 730.0
Item60; ItemProcess; value := 711.0
Item60; ItemProcess; weight := 988.0
Item61; ItemProcess; value := 800.0
Item61; ItemProcess; weight := 90.0
Item62; ItemProcess; value := 314.0
Item62; ItemProcess; weight := 340.0
Item63; ItemProcess; value := 289.0
Item63; ItemProcess; weight := 549.0
Item64; ItemProcess; value := 401.0
Item64; ItemProcess; weight := 196.0
Item65; ItemProcess; value := 466.0
Item65; ItemProcess; weight := 865.0
Item66; ItemProcess; value := 689.0
Item66; ItemProcess; weight := 678.0
Item67; ItemProcess; value := 833.0
Item67; ItemProcess; weight := 570.0
Item68; ItemProcess; value := 225.0
Item68; ItemProcess; weight := 936.0
Item69; ItemProcess; value := 244.0
Item69; ItemProcess; weight := 722.0
Item70; ItemProcess; value := 849.0
Item70; ItemProcess; weight := 651.0
Item71; ItemProcess; value := 113.0
Item71; ItemProcess; weight := 123.0
Item72; ItemProcess; value := 379.0
Item72; ItemProcess; weight := 431.0
Item73; ItemProcess; value := 361.0
Item73; ItemProcess; weight := 508.0
Item74; ItemProcess; value := 65.0
Item74; ItemProcess; weight := 585.0
Item75; ItemProcess; value := 486.0
Item75; ItemProcess; weight := 853.0
Item76; ItemProcess; value := 686.0
Item76; ItemProcess; weight := 642.0
Item77; ItemProcess; value := 286.0
Item77; ItemProcess; weight := 992.0
Item78; ItemProcess; value := 889.0
Item78; ItemProcess; weight := 725.0
Item79; ItemProcess; value := 24.0
Item79; ItemProcess; weight := 286.0
Item80; ItemProcess; value := 491.0
Item80; ItemProcess; weight := 812.0
Item81; ItemProcess; value := 891.0
Item81; ItemProcess; weight := 859.0
Item82; ItemProcess; value := 90.0
Item82; ItemProcess; weight := 663.0
Item83; ItemProcess; value := 181.0
Item83; ItemProcess; weight := 88.0
Item84; ItemProcess; value := 214.0
Item84; ItemProcess; weight := 179.0
Item85; ItemProcess; value := 17.0
Item85; ItemProcess; weight := 187.0
Item86; ItemProcess; value := 472.0
Item86; ItemProcess; weight := 619.0
Item87; ItemProcess; value := 418.0
Item87; ItemProcess; weight := 261.0
Item88; ItemProcess; value := 419.0
Item88; ItemProcess; weight := 846.0
Item89; ItemProcess; value := 356.0
Item89; ItemProcess; weight := 192.0
Item90; ItemProcess; value := 682.0
Item90; ItemProcess; weight := 261.0
Item91; ItemProcess; value := 306.0
Item91; ItemProcess; weight := 514.0
Item92; ItemProcess; value := 201.0
Item92; ItemProcess; weight := 886.0
Item93; ItemProcess; value := 385.0
Item93; ItemProcess; weight := 530.0
Item94; ItemProcess; value := 952.0
Item94; ItemProcess; weight := 849.0
Item95; ItemProcess; value := 500.0
Item95; ItemProcess; weight := 294.0
Item96; ItemProcess; value := 194.0
Item96; ItemProcess; weight := 799.0
Item97; ItemProcess; value := 737.0
Item97; ItemProcess; weight := 391.0
Item98; ItemProcess; value := 324.0
Item98; ItemProcess; weight := 330.0
Item99; ItemProcess; value := 992.0
Item99; ItemProcess; weight := 298.0
Item100; ItemProcess; value := 224.0
Item100; ItemProcess; weight := 790.0
